reach_id_v17b,group
12221500011,calibration
12221700021,calibration
12221700251,calibration
12291300071,calibration
12440400044,calibration
12440400124,calibration
12440500091,calibration
12440500161,calibration
12440500181,calibration
12450700021,calibration
12493300164,validation
12493300171,calibration
12499000064,calibration
12499000154,calibration
12499000264,calibration
12499000334,calibration
12499000494,calibration
12499000644,calibration
12520600084,calibration
12520600144,calibration
12520700071,calibration
12520800024,calibration
12520800111,validation
12520800131,validation
12520900044,calibration
12520900224,calibration
12540400191,calibration
12551000214,validation
12551000494,calibration
12551000531,calibration
12552000061,validation
12552000221,validation
12552000361,validation
12552000441,calibration
12552000731,calibration
12553300084,calibration
12553300234,calibration
12553600084,validation
12553600204,calibration
12553600404,calibration
12553600554,calibration
12553800204,calibration
12553800321,calibration
12554000071,calibration
12554000394,calibration
12556100061,calibration
12556300061,validation
12556500021,validation
12556500294,calibration
12556700174,calibration
12590000121,calibration
12590000231,validation
12590000294,calibration
12602000211,calibration
12710000154,calibration
12730300061,validation
12730300081,calibration
12730700061,calibration
12730700101,calibration
12730900084,calibration
12770100021,calibration
12770100201,calibration
12770500151,calibration
12770900021,validation
12780100011,calibration
12780100024,calibration
12780400251,calibration
12780500094,calibration
12780700164,calibration
12780700354,validation
12780800071,validation
12780900021,calibration
12792100024,calibration
12792100134,calibration
12793000081,calibration
12795000011,calibration
12795000084,calibration
12795000111,calibration
12797100151,calibration
12797500021,calibration
12797900054,calibration
12797900124,calibration
12797900191,calibration
12798000114,calibration
12798000121,calibration
12798000174,validation
12799000154,validation
12950500061,calibration
12991000071,calibration
14271900021,calibration
14574000101,calibration
14574000161,validation
14575000101,calibration
21302100061,calibration
21307400011,calibration
21307500051,calibration
21307500701,calibration
21406600251,calibration
21406600291,validation
21601000023,calibration
21601000101,validation
21601000121,calibration
21601000201,calibration
21602100174,calibration
21602100191,calibration
21602100211,calibration
21602100294,calibration
21602100431,calibration
21602200084,calibration
21602200101,validation
21602200204,calibration
21602200264,calibration
21602200271,validation
21602200534,validation
21602200564,calibration
21602300061,calibration
21602300161,calibration
21602300261,calibration
21602300351,calibration
21602300631,validation
21602300661,calibration
21602300681,calibration
21602300731,validation
21602300741,validation
21602300811,calibration
21602300901,calibration
21602400131,calibration
21602400211,calibration
21602400241,calibration
21602400301,calibration
21602400321,calibration
21602400331,calibration
21602400481,calibration
21602400561,calibration
21602400601,calibration
21602400641,calibration
21602400661,calibration
21602500061,calibration
21602500251,calibration
21602600011,calibration
21602600071,calibration
21602600101,calibration
21602600201,calibration
21602600321,calibration
21602600341,calibration
21602600373,calibration
21602600391,calibration
21602600463,calibration
21602600531,calibration
21602600561,validation
21602600581,calibration
21602600661,calibration
21602600751,validation
21602600804,calibration
21602600874,calibration
21602601034,calibration
21602601071,calibration
21602601361,calibration
21602700011,validation
21602700111,calibration
21602700151,calibration
21602800131,calibration
21602800224,validation
21602800621,calibration
21602800834,validation
21602900031,calibration
21602900451,calibration
21602900611,calibration
21602901034,calibration
21602901171,calibration
21602901241,calibration
21602901444,validation
21602901601,calibration
21603200111,calibration
21603200201,calibration
21603200241,calibration
21603200271,calibration
21603200311,calibration
21603300081,calibration
21603300174,calibration
21603300181,validation
21603300201,validation
21603400051,validation
21603400091,calibration
21603400111,calibration
21603400141,calibration
21603400161,calibration
21603400221,calibration
21603400261,calibration
22606100161,validation
22738100021,calibration
22738300091,calibration
22738400011,validation
22738500021,calibration
22738600071,validation
22738700071,calibration
22739000011,validation
22740100101,calibration
22740200071,calibration
22740200321,validation
22761000111,calibration
22766000181,calibration
22768000041,calibration
22770000131,calibration
22780100071,calibration
22791100041,calibration
22791800171,calibration
22792000061,calibration
22792000921,calibration
22792001011,calibration
22795000101,validation
22796000051,calibration
22796000171,calibration
22796000401,calibration
22797000391,calibration
22798000621,validation
23140100121,calibration
23160100065,calibration
23160300054,calibration
23190200051,calibration
23212000101,validation
23212000121,calibration
23212000234,validation
23212000261,calibration
23212000304,calibration
23212000371,calibration
23212000424,calibration
23212000551,validation
23212000694,calibration
23212000824,validation
23212001176,validation
23212001315,calibration
23214100095,validation
23214100121,calibration
23214100141,calibration
23214200011,calibration
23214200091,calibration
