v17_reach_id,v16_reach_id,reach_id
71224300293,71224300193,71224300193
71224300301,71224300221,71224300221
71224301033,71224300233,71224300233
71224301043,71224300243,71224300243
71224300843,71224300253,71224300253
71224300393,71224300263,71224300263
71224300403,71224300333,71224300333
71224300411,71224300341,71224300341
71224300421,71224300351,71224300351
71224300383,71224300423,71224300423
71224300313,71224300433,71224300433
71224300321,71224300441,71224300441
71224300333,71224300453,71224300453
71224300341,71224300461,71224300461
71224300353,71224300473,71224300473
71224300363,71224300483,71224300483
71224300373,71224300493,71224300493
71224300503,71224300503,71224300503
71224300783,71224300873,71224300873
71224300431,71224300881,71224300881
71224300441,71224300891,71224300891
71224300454,71224300904,71224300904
71224300461,71224300911,71224300911
71224300474,71224300924,71224300924
71224300481,71224300931,71224300931
71224300491,71224300941,71224300941
71224500011,71224500951,71224500951
71224700011,71224700961,71224700961
71224700021,71224700971,71224700971
71224301553,71224301103,71224301103
71224300853,71224301133,71224301133
71224300863,71224301143,71224301143
71224300883,71224301153,71224301153
71224300893,71224301163,71224301163
71224300796,71224301526,71224301526
71224300876,71224301536,71224301536
71224300906,71224301546,71224301546
71224700223,71224700153,71224700153
71224700231,71224700161,71224700161
71224700243,71224700183,71224700183
71224700251,71224700191,71224700191
71224700266,71224700316,71224700316
71226300021,71226300141,71226300141
71226500011,71226500151,71226500151
71226500021,71226500161,71226500161
71226500031,71226500171,71226500171
71226500041,71226500181,71226500181
71226500051,71226500191,71226500191
71226500061,71226500201,71226500201
71226500071,71226500211,71226500211
71226500081,71226500221,71226500221
71226500091,71226500231,71226500231
71226500101,71226500241,71226500241
71226500111,71226500251,71226500251
71226500121,71226500261,71226500261
71226500131,71226500271,71226500271
71226500141,71226500281,71226500281
71226500151,71226500291,71226500291
71226500161,71226500301,71226500301
71226500171,71226500311,71226500311
71226500221,71226500321,71226500321
71226500211,71226500331,71226500331
71226500181,71226500341,71226500341
71226500191,71226500351,71226500351
71226500201,71226500361,71226500361
71226600011,71226600011,71226600011
71226600021,71226600021,71226600021
71226600031,71226600031,71226600031
71226600041,71226600041,71226600041
71226600051,71226600051,71226600051
71226600061,71226600061,71226600061
71226600071,71226600071,71226600071
71226600081,71226600081,71226600081
71226600091,71226600091,71226600091
71226600101,71226600101,71226600101
71226600111,71226600111,71226600111
71226600121,71226600121,71226600121
71226600131,71226600131,71226600131
71226600141,71226600141,71226600141
71226600151,71226600151,71226600151
