Reach_ID,Node_ID,SWORD_Version,X,Y,Time_('dd-mm-yyyy'),Q_(m^3/s_daily),Qu_(m^3/s_daily),WSE_(m),WSEu_(m),W_(m),Wu_(m),Cross-sectionalArea_(m^2),Cross-sectionalAreau_(m^2),MaxV_(m/s),MaxVu_(m/s),MeanV_(m/s),MeanVu_(m/s),MaxD_(m),MaxDu_(m),MeanD_(m),MeanDu_(m)
81340100031,-9999,16,-162.362468,67.118765,02-07-2024',646.58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100031,-9999,16,-162.499233,67.142327,02-07-2024',676.71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100041,-9999,16,-162.497114,67.224784,02-07-2024',624.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81330000021,-9999,16,-162.413078,67.066957,04-07-2024',1127.67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100031,-9999,16,-162.362595,67.11866,04-07-2024',1089.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100031,-9999,16,-162.498084,67.142538,03-07-2024',1131.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100041,-9999,16,-162.502892,67.197842,03-07-2024',989.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100041,-9999,16,-162.497177,67.224757,03-07-2024',1056.51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100051,-9999,16,-162.602548,67.261254,03-07-2024',1016.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100181,-9999,16,-162.692951,67.256246,03-07-2024',602.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100031,-9999,16,-162.365483,67.116009,07-09-2025',2370.45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100031,-9999,16,-162.495945,67.138476,07-09-2025',2376.74,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100041,-9999,16,-162.503444,67.197925,07-09-2025',2293.411,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100041,-9999,16,-162.491356,67.224812,07-09-2025',2284.37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100051,-9999,16,-162.605446,67.258556,09-09-2025',2080.973,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
81340100181,-9999,16,-162.693351,67.256288,08-09-2025',2044.109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
